Date,Cases,Deaths,Recovered,Travel_history,Province,City
2020-04-01,33,1,3,Local - Social Contact,Sindh,Karachi
2020-04-01,2,0,0,Local - Social Contact,Punjab,Lodhran
2020-04-01,48,0,0,Local - Social Contact,Punjab,Lahore
2020-04-01,7,1,0,Local - Social Contact,Punjab,Rawalpindi
2020-04-01,6,0,0,Local - Social Contact,Baluchistan,Quetta
2020-04-01,28,0,0,Local - Social Contact,Punjab,Gujrat
2020-04-01,2,0,0,Local - Social Contact,Punjab,Gujranwala
2020-04-01,1,0,0,Local - Social Contact,Punjab,Narowal
2020-04-01,8,0,0,Local - Social Contact,Punjab,Sargodha
2020-04-01,1,0,0,Local - Social Contact,Punjab,Sialkot
2020-04-01,2,0,0,Local - Social Contact,Punjab,Bahawal Nagar
2020-04-01,16,0,0,Iran/Taftan,Punjab,Multan
2020-04-01,63,0,0,Iran/Taftan,Punjab,Raiwind
2020-04-02,27,0,0,Tableeghi Jamaat,Punjab,Raiwind
2020-04-01,3,0,0,Iran/Taftan,Punjab,Faisalabad
2020-04-02,3,1,0,Unknown,Gilgit-Baltistan,Astore
2020-04-02,32,1,9,Local - Social Contact,Sindh,Karachi
2020-04-02,0,1,0,Tableeghi Jamaat,Sindh,Hyderabad
2020-04-02,0,0,2,Iran/Taftan,Sindh,Sukkur
2020-04-02,21,1,0,Unknown,Punjab,Lahore
2020-04-02,4,0,0,Unknown,Islamabad Capital Territory,Islamabad
2020-04-02,5,0,0,Local - Social Contact,Baluchistan,Quetta
2020-04-02,1,1,0,Local - Social Contact,Khyber Pakhtunkhwa,Buner
2020-04-02,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Abbottabad
2020-04-02,5,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dir Lower
2020-04-02,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dir Upper
2020-04-02,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Hangu
2020-04-02,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Karak
2020-04-02,6,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Kohat
2020-04-02,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Mansehra
2020-04-02,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Nowshera
2020-04-02,17,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
2020-04-02,1,0,3,Local - Social Contact,Khyber Pakhtunkhwa,Swabi
2020-04-02,1,0,0,Local - Social Contact,Punjab,Gujranwala
2020-04-02,2,0,0,Local - Social Contact,Punjab,Rawalpindi
2020-04-02,10,0,0,Local - Social Contact,Punjab,Mandi Bahauddin
2020-04-02,6,0,0,Local - Social Contact,Punjab,Vehari
2020-04-02,6,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan
2020-04-02,27,0,0,Iran/Taftan,Punjab,Raiwind
2020-04-02,2,0,0,Iran/Taftan,Punjab,Faisalabad
2020-04-03,1,0,1,Unknown,Gilgit-Baltistan,Shigar
2020-04-03,1,0,0,Unknown,Gilgit-Baltistan,Nagar
